_id,Project ID,Addresses,Anchor Address,Status,Ward Number,Ward Name,Affordable Homes Approved,Rent-Controlled Market Units Approved,RGI Homes Approved,geometry
105,ARH0325,500 Dundas St E,500 Dundas St E,Pre-Planning,13,Toronto Centre,65,0,0,"{""type"": ""Point"", ""coordinates"": [-79.36410109, 43.66034632]}"
106,ARH0101,25 Borough Drive,25 Borough Dr,Started Construction,21,Scarborough Centre,64,0,0,"{""type"": ""Point"", ""coordinates"": [-79.26149458, 43.77404831]}"
107,ARH0169,4628 Kingston Road phase 2,4628 Kingston Rd,Occupied,25,Scarborough-Rouge Park,0,0,64,"{""type"": ""Point"", ""coordinates"": [-79.17989488, 43.77514363]}"
108,ARH0177,525 Markham Road,525 Markham Rd,Started Construction,24,Scarborough-Guildwood,0,0,62,"{""type"": ""Point"", ""coordinates"": [-79.22397358, 43.75675421]}"
109,ARH0071,1978 - 2002 Lake Shore Boulevard West,1978 Lakeshore Blvd W,Approved OPAs and Zoning By-Law Amendments,4,Parkdale-High Park,61,0,0,"{""type"": ""Point"", ""coordinates"": [-79.46933983, 43.63497691]}"
110,ARH0069,1900 Eglinton Avenue East (Phase 1 Block 1),1900 Eglinton Ave E,Approved OPAs and Zoning By-Law Amendments,21,Scarborough Centre,60,0,0,"{""type"": ""Point"", ""coordinates"": [-79.2939094, 43.72748563]}"
111,ARH0225,930 Albion Road,930 Albion Rd,Planning Applications Under Review,1,Etobicoke North,60,0,0,"{""type"": ""Point"", ""coordinates"": [-79.56150718, 43.73575354]}"
112,ARH0062,175 Cummer Avenue,175 Cummer Ave,Started Construction,18,Willowdale,0,0,59,"{""type"": ""Point"", ""coordinates"": [-79.40864078, 43.78785777]}"
113,ARH0179,540 Cedarvale Avenue,540 Cedarvale Ave,Occupied,19,Beaches-East York,0,0,59,"{""type"": ""Point"", ""coordinates"": [-79.31672339, 43.69838232]}"
114,ARH0329,18 Buckingham Ave.,18 Buckingham Ave.,Planning Applications Under Review,3,Etobicoke-Lakeshore,58,0,0,"{""type"": ""Point"", ""coordinates"": [-79.49730508, 43.62232424]}"
115,ARH0156,39 Dundalk Drive (formerly 7 Glamorgan Ave),39 Dundalk Dr,Occupied,21,Scarborough Centre,0,0,57,"{""type"": ""Point"", ""coordinates"": [-79.28490996, 43.76840237]}"
116,ARH0334,"3850 and 3900 Sheppard Avenue East and 2350 to 2362 Kennedy Road (Phase 3, Block 3)",3850 Sheppard Ave E,Approved OPAs and Zoning By-Law Amendments,22,Scarborough-Agincourt,57,0,0,"{""type"": ""Point"", ""coordinates"": [-79.29225268, 43.78393853]}"
